date,broker,buy_volume,sell_volume,buy_vwap,sell_vwap,start_balance,end_balance,efficiency_score,short_interest,profile
2024-08-07,RBC Capital Markets,8158,2666,0.2311,0.2311,3104408,3162267,0.86,1783,Institutional
2024-08-07,CIBC World Markets,6629,31543,0.2179,0.2217,7525642,7464267,0.8,17177,HNW
2024-08-07,TD Securities,47442,21229,0.2015,0.1534,1718418,1696240,0.97,4412,Institutional
2024-08-07,BMO Nesbitt Burns,1480,32650,0.2178,0.2123,3033357,3121629,0.78,19344,Retail + Institutional
2024-08-07,Scotia Capital,6105,31307,0.1741,0.1559,7086994,7168789,0.96,15814,Retail + Institutional
2024-08-07,National Bank Financial,37902,29774,0.1848,0.1536,2043587,1973775,0.72,17019,Retail + Institutional
2024-08-07,Canaccord Genuity,23100,38102,0.1926,0.2038,2455972,2433532,0.84,19199,Retail
2024-08-07,Raymond James,32957,1526,0.158,0.1999,2189663,2162431,0.97,5973,Institutional
2024-08-07,Desjardins Securities,20021,49699,0.1597,0.1726,9719424,9678831,0.88,12726,Institutional
2024-08-07,Laurentian Bank,4550,2638,0.1668,0.1934,8038400,8003786,0.79,19595,Retail + Institutional
2024-08-07,HSBC Securities,46580,28287,0.2361,0.2311,2897769,2831285,0.88,11151,Institutional
2024-08-07,GMP Securities,34743,19913,0.1614,0.1825,9242812,9211328,0.77,19879,Retail
2024-08-07,Credential Securities,44215,22327,0.1981,0.2051,9880509,9783853,0.99,4475,Retail + Institutional
2024-08-07,PI Financial,14979,43359,0.1777,0.2487,7193858,7279438,0.77,19504,HNW
2024-08-07,Industrial Alliance,28212,47420,0.2046,0.1699,6199888,6173101,0.95,1452,Institutional
2024-08-07,Edward Jones,42402,45857,0.222,0.2055,8189707,8274731,0.77,10464,Retail
2024-08-07,UBS Securities,40985,49364,0.204,0.2402,9945645,9865091,0.82,16368,HNW
2024-08-07,Goldman Sachs Canada,27108,13705,0.1578,0.2112,7345954,7416747,0.89,8828,Retail + Institutional
2024-08-07,JP Morgan Canada,41956,28369,0.1943,0.2023,6154939,6060779,0.79,15477,Retail
2024-08-07,Morgan Stanley Canada,40305,18093,0.1596,0.2345,8445600,8443946,0.88,5327,HNW
2024-08-07,Merrill Lynch Canada,19728,11755,0.2289,0.2335,1733493,1754612,0.88,3590,Retail + Institutional
2024-08-07,Interactive Brokers Canada,19531,1776,0.1808,0.2205,2469659,2449454,0.82,7800,Retail + Institutional
